2024-05-25 00:00:01,430 INFO  | < > | Received ECN4 Bento Service address update 10.234.109.25:13102.
2024-05-25 00:00:46,901 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/MRKU3642369/CIC>4J190G3 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=2 Process Order= Move Stage=Carry Underway Move Stage= Fetch= Carry Strt=FR2338 Nom Che=
2024-05-25 00:00:42,140 INFO  | < > | DB UPDATE for work.instructions origin=_completeChain user=Server object=WI=DLVR/PCIU8685544/6D84A4>TIP CHE-Dsptch= CHE-Dsptch= sq=4
2024-05-25 00:00:42,141 INFO  | < > | Position change for PCIU8685544: 6D84A4>TIP (complete move)
2024-05-25 00:00:42,140 INFO  | < > | tWorkInstruction::changeBin - updating [-1466507232 WI=OTHR/PCIU8685544/undefined>6D84A4 Move#=1.00000] to [-1466507232 WI=YARD/PCIU8685544/6D84A4>6D84A4 Move#=1.00000]. Client
2024-05-25 00:00:42,121 INFO  | < > | DB UPDATE for work.instructions origin=WrkAsMan::_broa user=Server object=WI=DLVR/PCIU8685544/6D84A4>TIP Order Status=UNKNOWN Order Progress= Order Info= Order ID= CHE-Dsptch= CHE-Dsptch= sq=4
2024-05-25 00:00:48,834 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/TCLU2354887/CIC>5C217C4 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=0 Process Order= Move Stage=Planned Move Stage= Fetch= Carry Strt= Dispatch=SA0000 sq=3
2024-05-25 00:00:48,831 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/TCLU2354887/CIC>5C217C4 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=0 Process Order= Move Stage=Planned Move Stage= Fetch= Carry Strt= Dispatch=FR2320 sq=3
2024-05-25 00:00:43,349 INFO  | < > | Position change for MSKU9761623: TIP>OUT
2024-05-25 00:00:48,831 INFO  | <  2> |  (Skipped 1: DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/MRKU3642369/CIC>4J190G3 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=2 Process Order= Move Stage=Carry Underway Move Stage= Fetch= Carry Strt=)
2024-05-25 00:00:42,122 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=DLVR/PCIU8685544/6D84A4>TIP Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=0 Process Order= Move Stage=Planned/Put Complete Move Stage= Fetch= Carry Strt=FR2358
2024-05-25 00:00:42,120 INFO  | < 11> |  (Skipped 1: Received ECN4 Bento Service address update 10.23)
2024-05-25 00:00:42,140 INFO  | < > | tWorkInstruction::changeBin - updating [-1466507232 WI=DLVR/PCIU8685544/6D84A4>TIP Move#=1.00000] to [-1466507232 WI=OTHR/PCIU8685544/6D84A4>undefined Move#=1.00000]. Client
2024-05-25 00:00:51,739 INFO  | < > | Received ECN4 Web Service address update 192.168.109.7:8280.
2024-05-25 00:01:04,352 INFO  | <  3> |  (Skipped 1: Received ECN4 Bento Service address update 10.23)
2024-05-25 00:01:04,352 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/TRHU8429460/RA106A4>6I14G4 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=2 Process Order= Move Stage=Carry Underway Move Stage= Fetch= Carry Strt=FR1901 sq=6
2024-05-25 00:01:01,509 INFO  | < 10> |  (Skipped 1: Received ECN4 Web Service address update 192.)
2024-05-25 00:01:01,509 INFO  | < > | Received ECN4 Bento Service address update 10.234.109.25:13102.
2024-05-25 00:01:19,217 INFO  | < > | EXECUTED  YMF CCO CIC user Decker @IP = 10.234.109.28. 
2024-05-25 00:01:19,113 INFO  | < > | EXECUTED  YMF CCO 7K user Decker @IP = 10.234.109.28. 
2024-05-25 00:01:19,316 INFO  | < > | EXECUTED  YMF CCO CIB user Decker @IP = 10.234.109.28. 
2024-05-25 00:01:19,113 INFO  | < 15> |  (Skipped 1: DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/TRHU8429460/RA106A4>6I14G4 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=2 Process Order= Move Stage=Carry Underway Move Stage= Fetch= Carry S)
2024-05-25 00:01:25,528 INFO  | < > | tWorkInstruction::changeBin - updating [-1606755552 WI=RDSC/MSKU7869162/FRI000000030.1B1>6I17C2 Move#=1.00000] to [-1606755552 WI=RDSC/MSKU7869162/FRI000000030.1B1>6I17C1 Move#=1.00000]. Client
2024-05-25 00:01:25,529 INFO  | < > | WI UPDATE for MSKU7869162 origin=XDdropFloating planned=VCA029 seq=4 seqInQ=6 moveStage=Planned truckID=88 cheID=0 object=WI=RDSC/MSKU7869162/FRI000000030.1B1>6I17C1 locked=N modified=Decker Move#=1.00000
2024-05-25 00:01:25,528 INFO  | < > | { "YardControlRequest" ["requestID"="5"] ["cheID"="33"] ["timeFrame"="CURRENT"] ["deckAsTwin"="false"] ["updatePlan"="true"] ["requestName"="DropFloatingPosition"] ["locale"="en_US"] { "container" ["cntrID"="MSKU7869162"] } }
2024-05-25 00:01:25,529 INFO  | < > | Sending response:
2024-05-25 00:01:25,527 INFO  | < > | Bento request received:
2024-05-25 00:01:25,529 INFO  | < > | WI UPDATE for MSKU7589840 origin=XDdropFloating planned=VCA029 seq=5 seqInQ=7 moveStage=Carry Underway truckID=535 cheID=0 object=WI=RDSC/MSKU7589840/FRI000000029.1B2>6I17C2 locked=N modified=Server Move#=1.00000
2024-05-25 00:01:25,529 INFO  | < > | tWorkInstruction::changeBin - updating [-1739866592 WI=RDSC/MSKU7589840/FRI000000029.1B2>6I17C1 Move#=1.00000] to [-1739866592 WI=RDSC/MSKU7589840/FRI000000029.1B2>6I17C2 Move#=1.00000]. Client
2024-05-25 00:01:25,529 INFO  | < > |  (Skipped 1: WI UPDATE for MSKU7869162 origin=XDdropFloating planned=VCA029 seq=4 seqInQ=6 moveStage=Planned truckID=88 cheID=0 object=WI=RDSC/MSKU7869162/FRI000000030.1B1>6I17C1 locked=N modified=Decke)
2024-05-25 00:01:25,530 INFO  | < > | External XD Request: duration 16 milliseconds
2024-05-25 00:01:25,528 INFO  | < > | doCntrPlannerPlanOneMove - updating [-1606755552 WI=RDSC/MSKU7869162/FRI000000030.1B1>6I17C2 Move#=1.00000 Wq=NRC0524-07-DISCH] to [-1606755552 WI=RDSC/MSKU7869162/FRI000000030.1B1>6I17C1 Move#=1.00000 Wq=NRC0524-07-DISCH]. Client
2024-05-25 00:01:25,530 INFO  | < > | { "XDResponse" ["csBinSlot"="6I17C.1"] ["csSlotScore"="0"] ["csAR"="0"] ["csTwinBinSlot"="???"] ["result"=0] }
2024-05-25 00:01:25,544 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/MRKU4997450/5G114C4>CIC Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=2 Process Order= Move Stage=Planned Move Stage= Fetch= Carry Strt= Dispatch=SA0001 sq=8
2024-05-25 00:01:25,552 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=RDSC/MSKU7869162/FRI000000030.1B1>6I17C1 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=0 Process Order= Move Stage=Planned Move Stage= Fetch= Carry Strt= Complete=
2024-05-25 00:01:25,541 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/MRKU4997450/5G114C4>CIC Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=2 Process Order= Move Stage=Planned Move Stage= Fetch= Carry Strt= Dispatch=FR2357 sq=8
2024-05-25 00:01:25,547 INFO  | < > |  (Skipped 1: DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/MRKU4997450/5G114C4>CIC Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=2 Process Order= Move Stage=Planned Move Stage= Fetch= Carry Strt= Dispa)
2024-05-25 00:01:25,548 INFO  | < > | DB UPDATE for work.instructions origin=WrkAsMan::_broa user=Server object=WI=YARD/MRKU4997450/5G114C4>CIC Order Status=UNKNOWN Order Progress= Order Info= Order ID= CHE-Dsptch= CHE-Dsptch= sq=8
2024-05-25 00:01:25,550 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/MRKU4997450/5G114C4>CIC Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=2 Process Order= Move Stage=Carry Underway Move Stage= Fetch= Carry Strt=SA0001 Nom Che=
2024-05-25 00:01:25,548 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/MRKU4997450/5G114C4>CIC Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=2 Process Order= Move Stage=Planned/Carry Underway Move Stage= Fetch= Carry Strt=FR2357
2024-05-25 00:01:31,420 INFO  | <  6> |  (Skipped 1: DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=RDSC/MSKU7869162/FRI000000030.1B1>6I17C1 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=0 Process Order= Move Stage=Planned Move Stage= Fetch= Carry )
2024-05-25 00:01:31,420 INFO  | < > | Received ECN4 Bento Service address update 10.234.109.25:13102.
2024-05-25 00:01:33,250 INFO  | < > | DB UPDATE for work.instructions origin=WrkAsMan::_broa user=Server object=WI=YARD/TCLU2354887/CIC>5C217C4 Order Status=UNKNOWN Order Progress= Order Info= Order ID= CHE-Dsptch= CHE-Dsptch= sq=3
2024-05-25 00:01:33,181 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/TCLU2354887/CIC>5C217C4 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=3 Process Order= Move Stage=Planned Move Stage= Fetch= Carry Strt= Dispatch=FR2359 sq=3
2024-05-25 00:01:33,260 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/TCLU2354887/CIC>5C217C4 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=3 Process Order= Move Stage=Carry Underway Move Stage= Fetch= Carry Strt=SA0001 Nom Che=
2024-05-25 00:01:33,180 INFO  | <  2> |  (Skipped 1: Received ECN4 Bento Service address update 10.23)
2024-05-25 00:01:33,211 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/TCLU2354887/CIC>5C217C4 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=3 Process Order= Move Stage=Planned/Carry Underway Move Stage= Fetch= Carry Strt=SA0000
2024-05-25 00:01:33,212 INFO  | < > | WI UPDATE for MSKU5277360 origin=tEquipControl:: planned=Decker seq=3 seqInQ=989 moveStage=Planned truckID=0 cheID=0 object=WI=YARD/MSKU5277360/CIC>5B137E4 locked=Y modified=DEK003 Move#=2.00000
2024-05-25 00:01:35,779 INFO  | < > | DB UPDATE for work.instructions origin=moveDistCalc user=Dispatcher object=WI=YARD/TCLU2354887/CIC>5C217C4 Unladen (m)=0 Unladen Carry (m)=-1 Dstnce=1026M sq=3
2024-05-25 00:01:36,670 INFO  | < > | [10.234.109.28] Memory usage:  25% (514.7 MB of 2048.0 MB)
2024-05-25 00:01:39,505 INFO  | < > |  (Skipped 1:    No solutions found in candida)
2024-05-25 00:01:39,501 INFO  | < > | { "YardControlRequest" ["requestID"="4"] ["cheID"="205"] ["timeFrame"="UNKNOWN"] ["deckAsTwin"="false"] ["updatePlan"="true"] ["requestName"="DeckOnDispatch"] ["locale"="en_US"] { "container" ["cntrID"="SEKU6722895"] } }
2024-05-25 00:01:39,505 INFO  | < > | _doYardControlRefinePlannedPosition could not refine WI=DSCH/SEKU6722895/180882>6F
2024-05-25 00:01:39,503 INFO  | < > |    No solutions found in candidate section list
2024-05-25 00:01:39,501 INFO  | < > | =>doYardControlDeckOnDispatch computed task: JobRefineStandard in Current timeframe.
2024-05-25 00:01:39,501 INFO  | < > | Bento request received:
2024-05-25 00:01:39,505 INFO  | < > | Sending response:
2024-05-25 00:01:39,505 INFO  | < > | External XD Request: duration 0 milliseconds
2024-05-25 00:01:39,820 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=RDSC/MSKU7869162/FRI000000030.1B1>6I17C1 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=1 Process Order= Move Stage=Carry Underway Move Stage= Fetch= Complete= sq=5
2024-05-25 00:01:39,732 INFO  | < > |  (Skipped 1: DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=DSCH/SEKU6722895/180882>6F Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=2 Process Order= Move Stage=Carry Underway Move Stage= Fetch=FR2352 Carry S)
2024-05-25 00:01:39,531 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=DSCH/SEKU6722895/180882>6F Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=2 Process Order= Move Stage=Carry Underway Move Stage= Fetch=FR2352 Carry Strt=FR2352 sq=6
2024-05-25 00:01:39,781 INFO  | < > |  (Skipped 2: DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=RDSC/MSKU7869162/FRI000000030.1B1>6I17C1 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=1 Process Order= Move Stage=Planned Move Stage= Fetch= Carry )
2024-05-25 00:01:39,781 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=RDSC/MSKU7869162/FRI000000030.1B1>6I17C1 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=1 Process Order= Move Stage=Planned/Carry Underway Move Stage= Fetch= sq=5
2024-05-25 00:01:39,732 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=RDSC/MSKU7869162/FRI000000030.1B1>6I17C1 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=1 Process Order= Move Stage=Planned Move Stage= Fetch= Carry Strt= Complete=
2024-05-25 00:01:39,505 INFO  | < > | { "XDResponse" ["csBinSlot"="6F"] ["csSlotScore"="0"] ["csAR"="0"] ["csTwinBinSlot"="???"] ["DeckingResult"=true] ["result"=0] }
2024-05-25 00:01:39,809 INFO  | < > | DB UPDATE for work.instructions origin=WrkAsMan::_broa user=Server object=WI=RDSC/MSKU7869162/FRI000000030.1B1>6I17C1 Order Status=UNKNOWN Order Progress= Order Info= Order ID= CHE-Dsptch= CHE-Dsptch= sq=5
2024-05-25 00:01:46,050 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=RDSC/TCLU3269579/FRI000000021.1B1>6I11B4 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=0 Process Order= Move Stage=Planned Move Stage= Fetch= Carry Strt= Dispatch=
2024-05-25 00:01:46,071 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=RDSC/TCLU3269579/FRI000000021.1B1>6I11B4 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=0 Process Order= Move Stage=Planned Move Stage= Fetch= Carry Strt= Complete=
2024-05-25 00:01:47,980 INFO  | < > | DB UPDATE for work.instructions origin=moveDistCalc user=Dispatcher object=WI=RDSC/TCLU3269579/FRI000000021.1B1>6I11B4 Unladen (m)=58 Unladen Carry (m)=58 Dstnce=   0M sq=5
2024-05-25 00:01:47,903 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/HHXU3272052/4B270B3>CIC Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=0 Process Order= Move Stage=Planned Move Stage= Fetch= Carry Strt= Dispatch=FR2351 sq=5
2024-05-25 00:01:47,901 INFO  | < > | DB UPDATE for work.instructions origin=WrkAsMan::_broa user=Server object=WI=YARD/HHXU3272052/4B270B3>CIC Order Status=UNKNOWN Order Progress= Order Info= Order ID= CHE-Dsptch= CHE-Dsptch= sq=5
2024-05-25 00:01:51,729 INFO  | < > | Received ECN4 Web Service address update 192.168.109.7:8280.
2024-05-25 00:01:57,589 INFO  | <  6> |  (Skipped 1: Received ECN4 Web Service address update 192.)
2024-05-25 00:01:57,590 INFO  | < > | DB UPDATE for work.instructions origin=clearTruckWARef user=Server object=WI=LOAD/MRKU5904977/6C66E4>140382 sq=4
2024-05-25 00:01:57,590 INFO  | < > | DB UPDATE for work.instructions origin=clearTruckWARef user=Server object=WI=YARD/ARKU1202753/CIC>3G295C3 sq=3
2024-05-25 00:01:57,590 INFO  | < > | DB UPDATE for work.instructions origin=clearTruckWARef user=Server object=WI=DSCH/PCIU1434059/310282>6G25G3 sq=8
2024-05-25 00:01:57,590 INFO  | < > | DB UPDATE for work.instructions origin=clearWARefs user=Server object=WI=DLVR/HLBU2682136/5I86B2>OUT sq=5
2024-05-25 00:01:57,589 INFO  | < > | DB UPDATE for work.instructions origin=clearTruckWARef user=Server object=WI=YARD/DFSU1260475/CIC>3G295C4 sq=3
2024-05-25 00:01:57,589 INFO  | < > | DB UPDATE for work.instructions origin=clearWARefs user=Server object=WI=LOAD/OOLU1832471/4G255G3>290284 sq=4
2024-05-25 00:01:57,590 INFO  | < > | DB UPDATE for work.instructions origin=clearTruckWARef user=Server object=WI=DSCH/PCIU1230836/310284>6G25G2 sq=8
2024-05-25 00:02:04,979 INFO  | <  3> |  (Skipped 1: Received ECN4 Bento Service address update 10.23)
2024-05-25 00:02:01,389 INFO  | < > | Received ECN4 Bento Service address update 10.234.109.25:13102.
2024-05-25 00:02:04,979 INFO  | < > | Position change for MSKU3760620: 6C53C3>6C53E5
2024-05-25 00:02:05,571 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/TCKU3664621/6C53C1>CIC Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=0 Process Order= Move Stage=Planned Move Stage= Fetch= Carry Strt= Dispatch=FR2357 sq=9
2024-05-25 00:02:05,556 INFO  | < > | { "YardControlRequest" ["requestID"="3"] ["cheID"="299"] ["timeFrame"="CURRENT"] ["deckAsTwin"="false"] ["updatePlan"="false"] ["requestName"="FindPositionForYardShift"] ["avoidStack"=""] ["locale"="en_US"] { "container" ["cntrID"="MRKU8850365"] } }
2024-05-25 00:02:05,556 INFO  | < > | Bento request received:
2024-05-25 00:02:05,559 INFO  | < > | Sending response:
2024-05-25 00:02:05,559 INFO  | < > |    6C53D5 is the best slot in the AG, score=20
2024-05-25 00:02:05,560 INFO  | < > | { "XDResponse" ["csBinSlot"="6C53D.5"] ["csSlotScore"="20"] ["csAR"="0"] ["csTwinBinSlot"="???"] ["result"=0] }
2024-05-25 00:02:05,556 INFO  | < > | =>doYardControlExternalFindPositionForYardShiftBento:ContainerID: MRKU8850365 
2024-05-25 00:02:05,560 INFO  | < > | External XD Request: duration 0 milliseconds
2024-05-25 00:02:11,859 INFO  | < > | DB UPDATE for work.instructions origin=WrkAsMan::_broa user=Server object=WI=LOAD/ZCSU8812150/4G250C2>180784 Order Status=UNKNOWN Order Progress= Order Info= Order ID= CHE-Dsptch= CHE-Dsptch= sq=3
2024-05-25 00:02:11,870 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=LOAD/ZCSU8812150/4G250C2>180784 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=0 Process Order= Move Stage=Planned Move Stage= Fetch= Carry Strt= Dispatch=FR2355
2024-05-25 00:02:19,709 INFO  | < > | DB UPDATE for work.instructions origin=setUpDispatch user=UCH022 object=WI=YARD/ARKU2230908/CIC>4B219A4 CHE-Dsptch=TT136 sq=2
2024-05-25 00:02:19,780 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/ARKU2230908/CIC>4B219A4 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=0 Process Order= Move Stage=Planned Move Stage= Fetch= Carry Strt= Dispatch=SA0002 sq=2
2024-05-25 00:02:19,770 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/ARKU2230908/CIC>4B219A4 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=0 Process Order= Move Stage=Planned Move Stage= Fetch= Carry Strt= Dispatch=FR2341 sq=2
2024-05-25 00:02:20,469 INFO  | < > | DB UPDATE for work.instructions origin=moveDistCalc user=Dispatcher object=WI=YARD/ARKU2230908/CIC>4B219A4 Unladen (m)=654 Unladen Carry (m)=654 Dstnce= 688M sq=2
2024-05-25 00:02:20,118 INFO  | < > | EXECUTED  YMF CCO 7K user Decker @IP = 10.234.109.28. 
2024-05-25 00:02:20,361 INFO  | < > | EXECUTED  YMF CCO CIB user Decker @IP = 10.234.109.28. 
2024-05-25 00:02:20,240 INFO  | < > | EXECUTED  YMF CCO CIC user Decker @IP = 10.234.109.28. 
2024-05-25 00:02:32,649 INFO  | <  1> |  (Skipped 1: Received ECN4 Bento Service address update 10.23)
2024-05-25 00:02:32,649 INFO  | < > | DB UPDATE for work.instructions origin=moveDistCalc user=Dispatcher object=WI=DLVR/FCIU6326930/4H229F3>TIP Unladen (m)=55 Unladen Carry (m)=55 Dstnce=  76M sq=4
2024-05-25 00:02:29,670 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=DLVR/FCIU6326930/4H229F3>TIP Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=0 Process Order= Move Stage=Planned Move Stage= Fetch= Carry Strt= Dispatch= Complete=
2024-05-25 00:02:29,690 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=DLVR/FCIU6326930/4H229F3>TIP Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=0 Process Order= Move Stage=Planned Move Stage= Fetch= Carry Strt= Dispatch=SA0002 sq=4
2024-05-25 00:02:31,389 INFO  | < > | Received ECN4 Bento Service address update 10.234.109.25:13102.
2024-05-25 00:02:35,800 INFO  | < > | DB UPDATE for work.instructions origin=WrkAsMan::_broa user=Server object=WI=YARD/PCIU1615524/CIC>3I311D4 Order Status=UNKNOWN Order Progress= Order Info= Order ID= CHE-Dsptch= CHE-Dsptch= Order Status=UNKNOWN Order Progress= Order Info= Order ID= sq=9
2024-05-25 00:02:34,692 INFO  | < > | tWorkInstruction::changeBin - updating [-506434784 WI=YARD/PCIU1615524/CIC>3I311G2 Move#=2.00000] to [-506434784 WI=YARD/PCIU1615524/CIC>3I311D4 Move#=2.00000]. Client
2024-05-25 00:02:34,692 INFO  | < > | tWorkInstruction::changeBin - updating [-506434784 WI=YARD/PCIU1615524/CIC>3I311D4 Move#=2.00000] to [-506434784 WI=OTHR/PCIU1615524/CIC>undefined Move#=2.00000]. Client
2024-05-25 00:02:35,810 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/PCIU1615524/CIC>3I311D4 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=0 Process Order= Move Stage=Completed Move Stage= Fetch=FR2326 Carry Strt=FR2326 sq=9
2024-05-25 00:02:35,801 INFO  | < > | DB UPDATE for work.instructions origin=WrkAsMan::_broa user=Server object=WI=YARD/MRKU8855198/CIC>3I311E4 Order Status=UNKNOWN Order Progress= Order Info= Order ID= CHE-Dsptch= CHE-Dsptch= Order Status=UNKNOWN Order Progress= Order Info= Order ID= sq=3
2024-05-25 00:02:34,692 INFO  | < > | Position change for PCIU1615524: CIC>3I311D4 (complete move)
2024-05-25 00:02:34,659 INFO  | < > | DB UPDATE for work.instructions origin=WrkAsMan::_broa user=Server object=WI=YARD/PCIU1615524/CIC>3I311G2 Order Status=UNKNOWN Order Progress= Order Info= Order ID= CHE-Dsptch= CHE-Dsptch= sq=8
2024-05-25 00:02:34,692 INFO  | < > | tWorkInstruction::changeBin - updating [-506434784 WI=OTHR/PCIU1615524/undefined>CIC Move#=2.00000] to [-506434784 WI=YARD/PCIU1615524/CIC>CIC Move#=2.00000]. Client
2024-05-25 00:02:35,802 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/MRKU8855198/CIC>3I311E4 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=0 Process Order= Move Stage=Completed Move Stage= Fetch=FR2319 Carry Strt=FR2319 sq=3
2024-05-25 00:02:34,691 INFO  | < > | DB UPDATE for work.instructions origin=_completeChain user=Server object=WI=YARD/PCIU1615524/CIC>3I311G2 CHE-Dsptch= CHE-Dsptch= sq=8
2024-05-25 00:02:34,691 INFO  | < > | DB UPDATE for work.instructions origin=handleWorkExecu user=Server object=WI=YARD/PCIU1615524/CIC>3I311G2 Shift Target= Shift Index= Msg Ref= Lane= CL Tier= Carr.Pos=0 Process Order= Move Stage=Carry Underway/Put Complete Move Stage= Fetch= Complete=
2024-05-25 00:02:47,966 INFO  | < > | { "XDResponse" ["csBinSlot"="CIC"] ["csSlotScore"="0"] ["csAR"="0"] ["csTwinBinSlot"="???"] ["DeckingResult"=true] ["result"=0] }
2024-05-25 00:02:47,965 INFO  | < > | Bento request received:
2024-05-25 00:02:47,965 INFO  | < > | Sending response:
